Name,Article,Code,Orientation,Power,Hatch,Speed,Layer_thickness,Annealed,Annealing_T,HIP,Machined,SB,EDM,LSP,SP,SMAT,Polished,m1,m2,q1,q2,RMSE
M Coarse East,Tehrani2021,57,90,280,0.14,1200,30,1,900,0,1,0,0,0,0,0,1,-199.2825627,-0.1,1496.94831,400.5504487,0.143890123
M Coarse West,Tehrani2021,58,90,280,0.14,1200,30,1,900,0,1,0,0,0,0,0,1,-370.6424196,-0.1,2268.447123,400.5041104,0.485296724
M Fine East,Tehrani2021,59,90,280,0.14,1200,30,1,900,0,1,0,0,0,0,0,1,-330.8608364,-0.1,2008.240107,400.4860775,0.778348198
M Fine West,Tehrani2021,60,90,280,0.14,1200,30,1,900,0,1,0,0,0,0,0,1,-223.1175787,-0.1,1537.899651,400.51,0.524311218
AF,Yan2019,61,90,280,0.05,1200,30,0,20,0,0,0,0,0,0,0,0,-292.1964878,-26.08442837,1805.592263,461.7263633,0.190317197
HIP,Yan2019,62,90,280,0.05,1200,30,0,20,1,1,0,0,0,0,0,0,-374.3973859,-18.37161784,2365.586276,496.4509936,0.145340931
SMAT,Yan2019,63,90,280,0.05,1200,30,0,20,1,1,0,0,0,0,1,0,-97.54600577,-0.1,1164.760307,580.5994713,0.523121465
3090-AF,Kumar2020,64,90,280,0.14,1200,30,0,20,0,1,0,0,0,0,0,1,-166.161164,-53.84615385,1357.118635,716.9230769,0.62725306
3090-HT,Kumar2020,65,90,280,0.14,1200,30,1,920,0,1,0,0,0,0,0,1,-13.83859745,-0.1,471.8701821,375.7,0.046383064
3090-SP,Kumar2020,66,90,280,0.14,1200,30,1,920,0,1,0,0,0,1,0,0,-50,-0.1,800,450.7,0.42222465
3067-AF,Kumar2020,67,90,280,0.14,1200,30,0,20,0,1,0,0,0,0,0,1,-125,-0.1,1215,340.7,0.65109779
3067-HT,Kumar2020,68,90,280,0.14,1200,30,1,920,0,1,0,0,0,0,0,1,-21.87108711,-0.1,553.0976098,400.7,0.677932957
3067-SP,Kumar2020,69,90,280,0.14,1200,30,1,920,0,1,0,0,0,1,0,0,-166.6666667,-0.1,1641.666667,475.7,0.089522125
6090-AF,Kumar2020,70,90,340,0.12,1250,60,0,20,0,1,0,0,0,0,0,1,-50.62896368,-0.1,804.4027458,450.7,0.352075107
6090-HT,Kumar2020,71,90,340,0.12,1250,60,1,920,0,1,0,0,0,0,0,1,-23.14556445,-0.1,602.7607254,450.66,0.560481335
6090-SP,Kumar2020,72,90,340,0.12,1250,60,1,920,0,1,0,0,0,1,0,0,-41.60386863,-0.1,791.2270804,500.7,0.346000722
6067-AF,Kumar2020,73,90,340,0.12,1250,60,0,20,0,1,0,0,0,0,0,1,-44.44444444,-0.1,783.3333333,450.75,0.77543513
6067-HT,Kumar2020,74,90,340,0.12,1250,60,1,920,0,1,0,0,0,0,0,1,-17.93443172,-0.1,586.5738062,470.65,0.462865804
6067-SP,Kumar2020,75,90,340,0.12,1250,60,1,920,0,1,0,0,0,1,0,0,-268.1192217,-0.1,2388.428591,525.695,0.061344005
